heading_deg,pure_intercept_time_s,pure_min_distance_m,predictive_intercept_time_s,predictive_min_distance_m,pn_intercept_time_s,pn_min_distance_m
0.0,133.2,1.5281174387309864,132.56,1.8242530300347257,132.56,1.832292159727381
30.0,132.56,1.4908307426055198,131.36,1.8330626460251964,131.36,1.8451966635162944
60.0,120.0,1.7807109153592013,114.64,1.7256113065915386,114.64,1.9775981390418738
90.0,98.96000000000001,1.710436435393166,88.16,1.5936491870427882,88.24,1.465376784489133
120.0,74.96000000000001,1.7380523136474837,60.0,1.2585953564115337,60.08,1.2056055943852524
150.0,54.480000000000004,1.6284159331832828,40.88,0.9251793601460597,40.88,1.9537212038463327
180.0,44.96,1.8545907790207548,33.2,0.29869011150827846,33.2,0.4688347164354128
210.0,45.04,1.5710798548838398,33.44,1.1700051248209056,33.44,1.3245392632762831
240.0,56.08,1.7517467699805607,40.4,1.1786699338272824,40.4,1.3615343207477841
270.0,77.2,1.6863024183012185,57.52,1.4841922914201238,57.52,1.8286657584099748
300.0,101.28,1.4590928166662676,84.88,1.185272598875618,84.88,1.3027118886178422
330.0,121.76,1.5361671437627755,114.08,1.6602948370070363,114.08,1.6675139735721416
